Date,Close
27-8-2020,47.41
28-8-2020,48.57
31-8-2020,48.130001
1-9-2020,50.139
2-9-2020,51.5005
3-9-2020,46.465
4-9-2020,44.125999
8-9-2020,42.008999
9-9-2020,43.304001
10-9-2020,42.710999
11-9-2020,41.863998
14-9-2020,42.750999
15-9-2020,44.529999
16-9-2020,44.131001
17-9-2020,42.876999
18-9-2020,43.575001
21-9-2020,46.154999
22-9-2020,46.771999
23-9-2020,45.727001
24-9-2020,45.32
25-9-2020,47.317001
28-9-2020,48.763
29-9-2020,49.830002
30-9-2020,51.877998
1-10-2020,55.516998
2-10-2020,55.647999
5-10-2020,57.390999
6-10-2020,58.525002
7-10-2020,59.342999
8-10-2020,60.555
9-10-2020,61.311001
12-10-2020,62.666
13-10-2020,65.071999
14-10-2020,65.396004
15-10-2020,60.000999
16-10-2020,60.5
19-10-2020,61.828999
20-10-2020,61.229
21-10-2020,62.466999
22-10-2020,60.691002
23-10-2020,61.991001
26-10-2020,60.832001
27-10-2020,61.335999
28-10-2020,59.648998
29-10-2020,61.798
30-10-2020,56.645
2-11-2020,55.916
3-11-2020,58.608002
4-11-2020,63.242001
5-11-2020,64.730003
6-11-2020,81.933998
9-11-2020,76.137001
10-11-2020,70.727997
11-11-2020,74.204002
12-11-2020,74
13-11-2020,73.476997
16-11-2020,74.612999
17-11-2020,79.505997
18-11-2020,77.241997
19-11-2020,80.592003
20-11-2020,82.699997
23-11-2020,83.964996
24-11-2020,84.410004
25-11-2020,86.226997
27-11-2020,87.309998
30-11-2020,90.107002
1-12-2020,89.013
2-12-2020,86.692001
3-12-2020,88.718002
4-12-2020,90.377998
7-12-2020,91.263
8-12-2020,91.5
9-12-2020,88.526001
10-12-2020,91.758003
11-12-2020,92.613998
14-12-2020,92.241997
15-12-2020,93.313004
16-12-2020,93.972
17-12-2020,94.239998
18-12-2020,95.150002
21-12-2020,93.553001
22-12-2020,97.112
23-12-2020,92.399002
24-12-2020,93.177002
28-12-2020,83.262001
29-12-2020,82.028999
30-12-2020,81.800003
31-12-2020,80.099998
4-1-2021,77.343002
5-1-2021,78.853996
6-1-2021,74.060997
7-1-2021,76.303001
8-1-2021,79.581001
11-1-2021,77.929001
12-1-2021,80.559998
13-1-2021,78.544998
14-1-2021,77.529999
15-1-2021,78.536003
19-1-2021,78.061996
20-1-2021,81.098999
21-1-2021,81.303001
22-1-2021,81.295998
25-1-2021,78.558998
26-1-2021,77.628998
27-1-2021,75.629997
28-1-2021,79.452003
29-1-2021,76.598999
1-2-2021,79.320999
2-2-2021,83.144997
3-2-2021,83.915001
4-2-2021,85.402
5-2-2021,85.505997
8-2-2021,85.231003
9-2-2021,86.460999
10-2-2021,86.192001
11-2-2021,86.683998
12-2-2021,86.400002
16-2-2021,86.898003
17-2-2021,84.442001
18-2-2021,84.650002
19-2-2021,90.334999
22-2-2021,84.522003
23-2-2021,79.109001
24-2-2021,78.103996
25-2-2021,75.459
26-2-2021,80.539001
1-3-2021,83.234001
2-3-2021,79.791
3-3-2021,69.593002
4-3-2021,64.015999
5-3-2021,65.417
8-3-2021,67.893997
9-3-2021,71.931999
10-3-2021,72.261002
11-3-2021,75.650002
12-3-2021,75.122002
15-3-2021,75.825996
16-3-2021,76.891998
17-3-2021,77.151001
18-3-2021,70.010002
19-3-2021,73.320999
22-3-2021,74.084999
23-3-2021,72.431
24-3-2021,66.806
25-3-2021,65.337997
26-3-2021,67.121002
29-3-2021,61.257999
30-3-2021,62.588001
31-3-2021,65.166
1-4-2021,65.884003
5-4-2021,65.318001
6-4-2021,66.962997
7-4-2021,67.787003
8-4-2021,69.040001
9-4-2021,69.255997
12-4-2021,70.585999
13-4-2021,72.296997
14-4-2021,71.610001
15-4-2021,73.5
16-4-2021,71.886002
19-4-2021,69.547997
20-4-2021,68.607002
21-4-2021,70.726997
22-4-2021,70.023003
23-4-2021,72.649002
26-4-2021,74.764
27-4-2021,74.862
28-4-2021,74.637001
29-4-2021,74.898003
30-4-2021,72.931
3-5-2021,70.155998
4-5-2021,66.654999
5-5-2021,63.914001
6-5-2021,61.23
7-5-2021,66.142998
10-5-2021,48.959999
11-5-2021,51.435001
12-5-2021,50.476002
13-5-2021,49.349998
14-5-2021,51.749001
17-5-2021,50.764
18-5-2021,50.849998
19-5-2021,50.91
20-5-2021,54.330002
21-5-2021,53.972
24-5-2021,55.556999
25-5-2021,56.129002
26-5-2021,58.146999
27-5-2021,58.458
28-5-2021,58.813999
1-6-2021,58.310001
2-6-2021,58.188999
